Washington,George,,2/22/1732,12/14/1799,Virginia,Virginia,Independent,4/30/1789,3/4/1797,FALSE,FALSE,Deist/Episcopalian
Adams,John,,10/30/1735,7/4/1826,Massachusetts,Massachusetts,Federalist,3/4/1797,3/4/1801,FALSE,FALSE,Unitarian
Jefferson,Thomas,,4/13/1743,7/4/1826,Virginia,Virginia,Democratic-Republican,3/4/1801,3/4/1809,FALSE,FALSE,
Madison,James,,3/16/1751,6/28/1836,Virginia,Virginia,Democratic-Republican,3/4/1809,3/4/1817,FALSE,FALSE,Deist/Episcopalian
Monroe,James,,4/28/1758,7/4/1831,Virginia,Virginia,Democratic-Republican,3/4/1817,3/4/1825,FALSE,FALSE,Deist/Episcopalian
Adams,John,Quincy,7/11/1767,2/23/1848,Massachusetts,Massachusetts,Democratic-Republican/National Republican,3/4/1825,3/4/1829,FALSE,FALSE,Unitarian
Jackson,Andrew,,3/15/1767,6/8/1845,Tennessee,Tennessee,Democratic,3/4/1829,3/4/1837,TRUE,FALSE,Presbyterian
Van Buren,Martin,,12/5/1782,7/24/1862,New York,New York,Democratic,3/4/1837,3/4/1841,FALSE,FALSE,Dutch Reformed
Harrison,William,Henry,2/9/1773,4/4/1841,Ohio,Ohio,Whig,3/4/1841,4/4/1841,FALSE,FALSE,Episcopalian
Tyler,John,,3/29/1790,1/18/1862,Virginia,Virginia,Whig,4/4/1841,3/4/1845,FALSE,FALSE,Episcopalian
Polk,James,Knox,11/2/1795,6/15/1849,North Carolina,Tennessee,Democratic,3/4/1845,3/4/1849,FALSE,FALSE,Methodist
Taylor,Zachary,,11/24/1784,7/9/1850,Virginia,Louisiana,Whig,3/4/1849,7/9/1850,FALSE,FALSE,Episcopalian
Fillmore,Millard,,1/7/1800,3/8/1874,New York,New York,Whig,7/9/1850,3/4/1853,FALSE,FALSE,Unitarian
Pierce,Franklin,,11/3/1804,10/8/1869,New Hampshire,New Hampshire,Democratic,3/4/1853,3/4/1857,FALSE,FALSE,
Buchanan,James,,4/23/1791,6/1/1868,Pennsylvania,Pennsylvania,Democratic,3/4/1857,3/4/1861,FALSE,FALSE,Presbyterian
Lincoln,Abraham,,2/12/1809,4/15/1865,Kentucky,Illinois,Republican/National Union,3/4/1861,4/15/1865,TRUE,TRUE,
Johnson,Andrew,,12/29/1808,7/31/1875,North Carolina,Tennessee,Democratic/National Union,4/15/1865,3/4/1869,FALSE,FALSE,
Grant,Ulysses,S,4/27/1822,7/23/1885,Ohio,Ohio,Republican,3/4/1869,3/4/1877,FALSE,FALSE,Presbyterian/Methodist
Hayes,Rutherford,Birchard,10/4/1822,1/17/1893,Ohio,Ohio,Republican,3/4/1877,3/4/1881,FALSE,FALSE,
